1790057624.644538324|k3d-sa-a4-serverlb|51.94%|17.94MiB / 7.406GiB|27
1790057624.644538324|k3d-sa-a4-agent-0|18.08%|1.442GiB / 7.406GiB|348
1790057624.644538324|k3d-sa-a4-server-0|697.39%|1.443GiB / 7.406GiB|408
1790057624.644538324|k3d-a4-registry|0.00%|19.18MiB / 7.406GiB|18
1790057624.644538324|book_reviews_nginx_scale|0.00%|25.65MiB / 7.406GiB|18
1790057624.644538324|book_reviews_app1_scale|1.07%|82.5MiB / 7.406GiB|55
1790057624.644538324|book_reviews_app3_scale|1.29%|83.06MiB / 7.406GiB|55
1790057624.644538324|book_reviews_app2_scale|1.71%|82.61MiB / 7.406GiB|55
1790057624.644538324|book_reviews_search_scale|0.82%|752.6MiB / 7.406GiB|140
1790057624.644538324|book_reviews_cache_scale|0.44%|14.59MiB / 7.406GiB|6
1790057624.644538324|book_reviews_mongodb_scale|0.87%|161MiB / 7.406GiB|71
1790057624.644538324|proyecto-del-curso-grupo_10_los_inhackeables-db-1|0.00%|33.72MiB / 7.406GiB|6
